url,linkText,paragraphText
https://teflpedia.com/Category:Teflpedia_conversation_questions,TEFLPEDIA conversation questions,🙌 Lots of Conversation questions by topic
https://englishstudyhere.com/category/speaking-general/,English Study Here - Speaking – General, 😄 Excellent one-image summaries of Vocab Topics
https://englishstudyhere.com/category/ways-to-say/,English Study Here - Ways to Say,
http://iteslj.org/questions/,Conversation Questions for the ESL/EFL Classroom,Lots and Lots 🤪 of Questions!
https://eslgold.com/practice-speaking/conversation-topics/,ESL Gold Speaking Practice, A variety of topics to select 😉
https://www.edutopia.org/discussion/12-fun-speaking-games-language-learners,Edutopia -> 12 Fun Speaking Games for Language Learners,🤭 Speaking Games 😁
